"plaintext_size","cipher_mode","total_time","key_size","enc/dec
"
"488.00 mb","AES/CBC/PKCS5PADDING","77486709","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","4869292","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","5011459","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","4314542","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3740916","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3727958","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3183000","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3188292","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3212625","256","dec"
"488.00 mb","AES/CBC/PKCS5PADDING","3225208","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","103920542","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","22001500","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","18509416","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16921708","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16601750","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16666792","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16355875","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16843625","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16689667","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17254708","128","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","110573000","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","27369833","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24903041","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23881833","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23854916","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23790000","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24155542","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23838375","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23695667","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24861959","128","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","104246583","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","22723334","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","18960000","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17576167","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16971166","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16910959","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17270291","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17462250","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17172916","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","16979000","192","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","106811416","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","25528500","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24051833","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23869208","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23623000","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","25497959","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23537083","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23288167","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23544959","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23269750","192","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","107452333","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","24289625","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","20244750","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","18368584","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","18006750","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17810958","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17845958","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","18087709","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17915083","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","17907417","256","enc"
"4847.00 mb","AES/CBC/PKCS5PADDING","109164250","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","26282709","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24730292","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24625875","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24157875","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","24128750","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23795209","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23888125","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23602417","256","dec"
"4847.00 mb","AES/CBC/PKCS5PADDING","23730625","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","258366167","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","160254791","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","158742625","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","160967875","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","161797541","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","162328584","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","161220917","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","160096292","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","160920417","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","160233209","128","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","327920083","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","247098209","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","258106750","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238263000","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238756334","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238554459","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","249772166","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","236361750","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","237685500","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","236920750","128","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","265051625","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","163020625","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","163613250","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","164841375","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","174885583","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","167827041","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","166742417","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","168521583","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","174852000","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","188617583","192","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","329090458","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","256287209","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","239749125","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","237760125","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","241386833","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238629667","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","243133458","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","239392708","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","241227875","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","258128709","192","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","276290708","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","176991416","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","173775083","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","174531917","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","177277667","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","178235541","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","176453500","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","179334292","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","178105291","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","180386708","256","enc"
"48806.00 mb","AES/CBC/PKCS5PADDING","330993292","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","250888125","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","239086000","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","236968083","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238858209","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","239516125","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","243570416","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","241228417","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","238769000","256","dec"
"48806.00 mb","AES/CBC/PKCS5PADDING","239907375","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","1910305084","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1811662750","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1833778250","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1824133917","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1853199583","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1820317459","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1832841417","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1819431625","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1811996292","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1979235917","128","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","3063944166","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","3050495666","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2887184042","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2838065209","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2797853417","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2873214917","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2853753333","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2845346458","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2816118625","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2839736917","128","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2008261542","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1944737916","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1926306458","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1936718417","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1898502959","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1896254792","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1893275792","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1924833125","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1932246875","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1887294042","192","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2970361291","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2834848291","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2837768083","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2797811584","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2812045625","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2962515834","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2822454458","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2833849667","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2837900834","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2838145083","192","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2116822000","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1981524542","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1989500167","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1997618417","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2007462000","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","1992248334","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2007427875","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2008472917","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2046550792","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","2001173125","256","enc"
"488251.00 mb","AES/CBC/PKCS5PADDING","3056642375","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2841413667","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2883811000","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2887462292","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2863983791","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2859943125","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2862992416","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2868693250","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","2866667542","256","dec"
"488251.00 mb","AES/CBC/PKCS5PADDING","3247320125","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4079946375","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4028570042","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3974355334","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3963843833","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3965536959","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3989112917","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4042886333","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3973657292","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3994918375","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","3981140209","128","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6626266875","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6219369458","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6292574375","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6230743583","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6296522125","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6267298125","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6218375375","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6635506208","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6197351792","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6170702083","128","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4297895542","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4121032916","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4078805583","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4240901250","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4093363375","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4052899083","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4097871375","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4095193375","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4097262792","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4105421250","192","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","7197546708","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6267812334","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6226809875","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6217784708","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6242032334","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6939194292","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6260722709","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6202422583","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6228475917","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6311641583","192","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4687339166","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4437958791","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4347817458","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4392921000","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4360766583","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4498142708","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4652618959","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4416182750","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4409044709","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","4425928125","256","enc"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6509627000","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6302196750","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","7217046625","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6228447541","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6250857417","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6325461958","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6370672375","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6316852084","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6304510375","256","dec"
"1048576.00 mb","AES/CBC/PKCS5PADDING","6299710750","256","dec"
"97.00 mb","AES/CTR/NoPadding","101529917","128","enc"
"97.00 mb","AES/CTR/NoPadding","2646625","128","enc"
"97.00 mb","AES/CTR/NoPadding","2402375","128","enc"
"97.00 mb","AES/CTR/NoPadding","1706584","128","enc"
"97.00 mb","AES/CTR/NoPadding","1561250","128","enc"
"97.00 mb","AES/CTR/NoPadding","1933125","128","enc"
"97.00 mb","AES/CTR/NoPadding","1707958","128","enc"
"97.00 mb","AES/CTR/NoPadding","1360750","128","enc"
"97.00 mb","AES/CTR/NoPadding","1306792","128","enc"
"97.00 mb","AES/CTR/NoPadding","1206458","128","enc"
"97.00 mb","AES/CTR/NoPadding","95864792","128","dec"
"97.00 mb","AES/CTR/NoPadding","3360792","128","dec"
"97.00 mb","AES/CTR/NoPadding","2471625","128","dec"
"97.00 mb","AES/CTR/NoPadding","1800292","128","dec"
"97.00 mb","AES/CTR/NoPadding","1676042","128","dec"
"97.00 mb","AES/CTR/NoPadding","1490917","128","dec"
"97.00 mb","AES/CTR/NoPadding","1465000","128","dec"
"97.00 mb","AES/CTR/NoPadding","1287250","128","dec"
"97.00 mb","AES/CTR/NoPadding","1250708","128","dec"
"97.00 mb","AES/CTR/NoPadding","1224125","128","dec"
"97.00 mb","AES/CTR/NoPadding","70549209","192","enc"
"97.00 mb","AES/CTR/NoPadding","2604750","192","enc"
"97.00 mb","AES/CTR/NoPadding","3439375","192","enc"
"97.00 mb","AES/CTR/NoPadding","2216042","192","enc"
"97.00 mb","AES/CTR/NoPadding","1638792","192","enc"
"97.00 mb","AES/CTR/NoPadding","1644959","192","enc"
"97.00 mb","AES/CTR/NoPadding","1718958","192","enc"
"97.00 mb","AES/CTR/NoPadding","1415167","192","enc"
"97.00 mb","AES/CTR/NoPadding","1344166","192","enc"
"97.00 mb","AES/CTR/NoPadding","1260375","192","enc"
"97.00 mb","AES/CTR/NoPadding","67925500","192","dec"
"97.00 mb","AES/CTR/NoPadding","3025292","192","dec"
"97.00 mb","AES/CTR/NoPadding","2359125","192","dec"
"97.00 mb","AES/CTR/NoPadding","1881750","192","dec"
"97.00 mb","AES/CTR/NoPadding","1802500","192","dec"
"97.00 mb","AES/CTR/NoPadding","1451083","192","dec"
"97.00 mb","AES/CTR/NoPadding","1380417","192","dec"
"97.00 mb","AES/CTR/NoPadding","1310208","192","dec"
"97.00 mb","AES/CTR/NoPadding","1276416","192","dec"
"97.00 mb","AES/CTR/NoPadding","1273625","192","dec"
"97.00 mb","AES/CTR/NoPadding","71013167","256","enc"
"97.00 mb","AES/CTR/NoPadding","2626125","256","enc"
"97.00 mb","AES/CTR/NoPadding","2696333","256","enc"
"97.00 mb","AES/CTR/NoPadding","1814334","256","enc"
"97.00 mb","AES/CTR/NoPadding","1833083","256","enc"
"97.00 mb","AES/CTR/NoPadding","2241667","256","enc"
"97.00 mb","AES/CTR/NoPadding","1720417","256","enc"
"97.00 mb","AES/CTR/NoPadding","1790750","256","enc"
"97.00 mb","AES/CTR/NoPadding","1273000","256","enc"
"97.00 mb","AES/CTR/NoPadding","1245041","256","enc"
"97.00 mb","AES/CTR/NoPadding","67147125","256","dec"
"97.00 mb","AES/CTR/NoPadding","2957083","256","dec"
"97.00 mb","AES/CTR/NoPadding","2597958","256","dec"
"97.00 mb","AES/CTR/NoPadding","2118083","256","dec"
"97.00 mb","AES/CTR/NoPadding","1715875","256","dec"
"97.00 mb","AES/CTR/NoPadding","1525125","256","dec"
"97.00 mb","AES/CTR/NoPadding","1456542","256","dec"
"97.00 mb","AES/CTR/NoPadding","1387000","256","dec"
"97.00 mb","AES/CTR/NoPadding","1514792","256","dec"
"97.00 mb","AES/CTR/NoPadding","1466417","256","dec"
"488.00 mb","AES/CTR/NoPadding","79646167","128","enc"
"488.00 mb","AES/CTR/NoPadding","5172667","128","enc"
"488.00 mb","AES/CTR/NoPadding","3649167","128","enc"
"488.00 mb","AES/CTR/NoPadding","3461083","128","enc"
"488.00 mb","AES/CTR/NoPadding","3231000","128","enc"
"488.00 mb","AES/CTR/NoPadding","3295667","128","enc"
"488.00 mb","AES/CTR/NoPadding","3110791","128","enc"
"488.00 mb","AES/CTR/NoPadding","2825041","128","enc"
"488.00 mb","AES/CTR/NoPadding","2863750","128","enc"
"488.00 mb","AES/CTR/NoPadding","2900125","128","enc"
"488.00 mb","AES/CTR/NoPadding","75617500","128","dec"
"488.00 mb","AES/CTR/NoPadding","5518000","128","dec"
"488.00 mb","AES/CTR/NoPadding","4790666","128","dec"
"488.00 mb","AES/CTR/NoPadding","4929625","128","dec"
"488.00 mb","AES/CTR/NoPadding","3978292","128","dec"
"488.00 mb","AES/CTR/NoPadding","3912333","128","dec"
"488.00 mb","AES/CTR/NoPadding","4013667","128","dec"
"488.00 mb","AES/CTR/NoPadding","3930542","128","dec"
"488.00 mb","AES/CTR/NoPadding","3973208","128","dec"
"488.00 mb","AES/CTR/NoPadding","3933416","128","dec"
"488.00 mb","AES/CTR/NoPadding","78583125","192","enc"
"488.00 mb","AES/CTR/NoPadding","4966625","192","enc"
"488.00 mb","AES/CTR/NoPadding","3558750","192","enc"
"488.00 mb","AES/CTR/NoPadding","3698500","192","enc"
"488.00 mb","AES/CTR/NoPadding","3282334","192","enc"
"488.00 mb","AES/CTR/NoPadding","3329375","192","enc"
"488.00 mb","AES/CTR/NoPadding","3021000","192","enc"
"488.00 mb","AES/CTR/NoPadding","3093750","192","enc"
"488.00 mb","AES/CTR/NoPadding","2921917","192","enc"
"488.00 mb","AES/CTR/NoPadding","2880500","192","enc"
"488.00 mb","AES/CTR/NoPadding","79434958","192","dec"
"488.00 mb","AES/CTR/NoPadding","5538667","192","dec"
"488.00 mb","AES/CTR/NoPadding","4996417","192","dec"
"488.00 mb","AES/CTR/NoPadding","4982125","192","dec"
"488.00 mb","AES/CTR/NoPadding","4056417","192","dec"
"488.00 mb","AES/CTR/NoPadding","4023875","192","dec"
"488.00 mb","AES/CTR/NoPadding","3952750","192","dec"
"488.00 mb","AES/CTR/NoPadding","3912834","192","dec"
"488.00 mb","AES/CTR/NoPadding","4036958","192","dec"
"488.00 mb","AES/CTR/NoPadding","3827792","192","dec"
"488.00 mb","AES/CTR/NoPadding","78415792","256","enc"
"488.00 mb","AES/CTR/NoPadding","4842791","256","enc"
"488.00 mb","AES/CTR/NoPadding","3623083","256","enc"
"488.00 mb","AES/CTR/NoPadding","3483041","256","enc"
"488.00 mb","AES/CTR/NoPadding","3218709","256","enc"
"488.00 mb","AES/CTR/NoPadding","3370833","256","enc"
"488.00 mb","AES/CTR/NoPadding","3012750","256","enc"
"488.00 mb","AES/CTR/NoPadding","2938666","256","enc"
"488.00 mb","AES/CTR/NoPadding","2811375","256","enc"
"488.00 mb","AES/CTR/NoPadding","2828625","256","enc"
"488.00 mb","AES/CTR/NoPadding","75411542","256","dec"
"488.00 mb","AES/CTR/NoPadding","5240667","256","dec"
"488.00 mb","AES/CTR/NoPadding","4702625","256","dec"
"488.00 mb","AES/CTR/NoPadding","4443250","256","dec"
"488.00 mb","AES/CTR/NoPadding","4251083","256","dec"
"488.00 mb","AES/CTR/NoPadding","4007125","256","dec"
"488.00 mb","AES/CTR/NoPadding","3927833","256","dec"
"488.00 mb","AES/CTR/NoPadding","3849666","256","dec"
"488.00 mb","AES/CTR/NoPadding","3919042","256","dec"
"488.00 mb","AES/CTR/NoPadding","3860250","256","dec"
"4847.00 mb","AES/CTR/NoPadding","101979417","128","enc"
"4847.00 mb","AES/CTR/NoPadding","22785958","128","enc"
"4847.00 mb","AES/CTR/NoPadding","19423917","128","enc"
"4847.00 mb","AES/CTR/NoPadding","14748000","128","enc"
"4847.00 mb","AES/CTR/NoPadding","14086000","128","enc"
"4847.00 mb","AES/CTR/NoPadding","13800084","128","enc"
"4847.00 mb","AES/CTR/NoPadding","14383917","128","enc"
"4847.00 mb","AES/CTR/NoPadding","13751583","128","enc"
"4847.00 mb","AES/CTR/NoPadding","13858167","128","enc"
"4847.00 mb","AES/CTR/NoPadding","15424041","128","enc"
"4847.00 mb","AES/CTR/NoPadding","112612250","128","dec"
"4847.00 mb","AES/CTR/NoPadding","36221750","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24776500","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24513333","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24613459","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24677416","128","dec"
"4847.00 mb","AES/CTR/NoPadding","25064083","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24372375","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24327459","128","dec"
"4847.00 mb","AES/CTR/NoPadding","24163042","128","dec"
"4847.00 mb","AES/CTR/NoPadding","103981167","192","enc"
"4847.00 mb","AES/CTR/NoPadding","23454167","192","enc"
"4847.00 mb","AES/CTR/NoPadding","18854125","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14612167","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14735166","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14061583","192","enc"
"4847.00 mb","AES/CTR/NoPadding","13986375","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14097750","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14194875","192","enc"
"4847.00 mb","AES/CTR/NoPadding","14221083","192","enc"
"4847.00 mb","AES/CTR/NoPadding","115450042","192","dec"
"4847.00 mb","AES/CTR/NoPadding","31605834","192","dec"
"4847.00 mb","AES/CTR/NoPadding","25536208","192","dec"
